Model,Accuracy,Type
GatedGraphConv,0.8739343838801343,GNN
GatedGraphConv,0.8574011883234306,GNN
GatedGraphConv,0.8600490829243089,GNN
GatedGraphConv,0.8761947817101524,GNN
GatedGraphConv,0.878713510720744,GNN
GatedGraphConv,0.8813614053216223,GNN
GatedGraphConv,0.8722552312064066,GNN
GatedGraphConv,0.8778739343838802,GNN
GatedGraphConv,0.8662490312580728,GNN
GatedGraphConv,0.8887238439679669,GNN
GATv2Conv,0.8041849651252906,GNN
GATv2Conv,0.847778351847068,GNN
GATv2Conv,0.8524928958925342,GNN
GATv2Conv,0.8231723068974425,GNN
GATv2Conv,0.8415138207181607,GNN
GATv2Conv,0.8223327305605787,GNN
GATv2Conv,0.7988891759235339,GNN
GATv2Conv,0.8253035391371738,GNN
GATv2Conv,0.8517179023508138,GNN
GATv2Conv,0.830857659519504,GNN
SageConv,0.8627615603203307,GNN
SageConv,0.8653448721260656,GNN
SageConv,0.8704469129423922,GNN
SageConv,0.8591449237923018,GNN
SageConv,0.8729010591578403,GNN
SageConv,0.8533324722293981,GNN
SageConv,0.8686385946783777,GNN
SageConv,0.8720614828209765,GNN
SageConv,0.8682510979075174,GNN
SageConv,0.8598553345388789,GNN
GatedGraphConv,0.6203821656050955,GNN
GatedGraphConv,0.6292993630573248,GNN
GatedGraphConv,0.6305732484076433,GNN
GatedGraphConv,0.5643312101910828,GNN
GatedGraphConv,0.5987261146496815,GNN
GatedGraphConv,0.6101910828025477,GNN
GatedGraphConv,0.5961783439490446,GNN
GatedGraphConv,0.6076433121019108,GNN
GatedGraphConv,0.6267515923566879,GNN
GatedGraphConv,0.6140127388535032,GNN
GATv2Conv,0.5745222929936306,GNN
GATv2Conv,0.6522292993630573,GNN
GATv2Conv,0.640764331210191,GNN
GATv2Conv,0.6012738853503184,GNN
GATv2Conv,0.5910828025477707,GNN
GATv2Conv,0.6012738853503184,GNN
GATv2Conv,0.6038216560509554,GNN
GATv2Conv,0.554140127388535,GNN
GATv2Conv,0.6114649681528662,GNN
GATv2Conv,0.5821656050955414,GNN
SageConv,0.5898089171974522,GNN
SageConv,0.6305732484076433,GNN
SageConv,0.6611464968152866,GNN
SageConv,0.6229299363057325,GNN
SageConv,0.5923566878980892,GNN
SageConv,0.6471337579617834,GNN
SageConv,0.6038216560509554,GNN
SageConv,0.6101910828025477,GNN
SageConv,0.6178343949044586,GNN
SageConv,0.6025477707006369,GNN
GatedGraphConv,0.9070063694267516,GNN
GatedGraphConv,0.8878980891719745,GNN
GatedGraphConv,0.8484076433121019,GNN
GatedGraphConv,0.867515923566879,GNN
GatedGraphConv,0.9006369426751593,GNN
GatedGraphConv,0.8726114649681529,GNN
GatedGraphConv,0.8573248407643312,GNN
GatedGraphConv,0.7273885350318471,GNN
GatedGraphConv,0.8878980891719745,GNN
GatedGraphConv,0.821656050955414,GNN
GATv2Conv,0.8649681528662421,GNN
GATv2Conv,0.8777070063694268,GNN
GATv2Conv,0.8636942675159236,GNN
GATv2Conv,0.8509554140127389,GNN
GATv2Conv,0.8305732484076433,GNN
GATv2Conv,0.780891719745223,GNN
GATv2Conv,0.8585987261146497,GNN
GATv2Conv,0.8636942675159236,GNN
GATv2Conv,0.7668789808917198,GNN
GATv2Conv,0.8382165605095542,GNN
SageConv,0.8662420382165605,GNN
SageConv,0.8802547770700637,GNN
SageConv,0.8802547770700637,GNN
SageConv,0.889171974522293,GNN
SageConv,0.8662420382165605,GNN
SageConv,0.8420382165605096,GNN
SageConv,0.8777070063694268,GNN
SageConv,0.8789808917197452,GNN
SageConv,0.845859872611465,GNN
SageConv,0.89171974522293,GNN
SageConv,0.8726114649681529,GNN
GatedGraphConv,0.7643312101910829,GNN
GatedGraphConv,0.7222929936305732,GNN
GatedGraphConv,0.7656050955414013,GNN
GatedGraphConv,0.7452229299363057,GNN
GatedGraphConv,0.6165605095541401,GNN
GatedGraphConv,0.7490445859872611,GNN
GatedGraphConv,0.4993630573248407,GNN
GatedGraphConv,0.7477707006369426,GNN
GatedGraphConv,0.7503184713375797,GNN
GatedGraphConv,0.756687898089172,GNN
GATv2Conv,0.7439490445859872,GNN
GATv2Conv,0.7350318471337579,GNN
GATv2Conv,0.756687898089172,GNN
GATv2Conv,0.7617834394904459,GNN
GATv2Conv,0.7312101910828025,GNN
GATv2Conv,0.7375796178343949,GNN
GATv2Conv,0.7031847133757961,GNN
GATv2Conv,0.6229299363057325,GNN
GATv2Conv,0.6751592356687898,GNN
GATv2Conv,0.7477707006369426,GNN
SageConv,0.7770700636942676,GNN
SageConv,0.7388535031847133,GNN
SageConv,0.7503184713375797,GNN
SageConv,0.7490445859872611,GNN
SageConv,0.7439490445859872,GNN
SageConv,0.7350318471337579,GNN
SageConv,0.7464968152866241,GNN
SageConv,0.7490445859872611,GNN
SageConv,0.7426751592356687,GNN
SageConv,0.7350318471337579,GNN
